597,1766
1131,1322
1041,1449
1047,1821
1747,1821
597,769
206,333
67,206
71,206
1103,67
1331,1103
206,1206
1912,1050
67,1380
1874,1380
1103,1263
1784,1263
1331,1633
1674,1633
136,752
406,752
1647,950
1621,1823
1143,1453
1642,1326
1041,279
110,21
1769,21
1538,28
74,1117
1856,384
1742,13
132,13
154,753
1362,874
1392,1275
1136,1275
300,1392
956,875
1874,1883
721,1883
1103,1883
1047,977
286,726
1154,726
1953,609
445,1910
1232,1910
216,410
1642,410
1924,1041
1783,1063
938,1499
238,1499
1658,602
root,35
root,264
526,290
874,413
572,413
154,1977
730,90
741,538
1977,155
609,1557
622,1519
875,1269
1111,1010
840,1010
781,343
1270,343
1435,1860
765,136
1263,1008
980,1008
1642,1761
1647,997
290,383
1647,383
1870,383
1073,12
1658,1343
249,694
1658,947
249,947
1104,947
249,331
920,125
706,125
1876,1837
1154,1837
1472,1208
1077,1329
1322,1230
1563,1346
726,1586
1725,1586
956,506
1895,629
1030,1764
215,1526
1129,1526
1783,1164
462,1410
1282,1077
510,184
492,184
1658,1782
1782,444
1199,444
1314,316
492,46
1704,1298
249,1298
1704,1194
root,920
878,1852
root,1961
1068,1900
1314,1900
1318,1900
956,1783
1104,182
313,1029
487,371
947,487
1246,106
865,106
519,243
623,243
1270,984
653,1233
1628,1121
1041,505
511,505
791,996
671,869
260,869
1360,869
1751,671
228,1067
980,1168
396,1168
539,1168
1077,1765
1963,1938
378,1938
1586,330
609,115
267,115
1837,1847
1586,1847
1380,1394
526,1394
1658,827
857,827
609,1162
814,1055
874,1635
150,397
1183,397
492,1742
root,882
root,1104
956,1926
510,1443
1485,1313
478,218
756,218
root,781
765,655
1635,34
956,255
root,1441
1230,905
1314,1734
874,1621
root,1975
655,601
1297,1667
1761,1297
765,1297
313,232
476,232
1704,793
root,172
172,307
1823,1026
598,1026
1895,1038
565,1242
1683,1242
1658,1492
1894,1609
1290,1720
595,1720
1611,808
1774,808
1658,931
1658,1709
1911,1709
1704,1124
root,1235
1912,1456
971,1691
1018,110
629,200
1704,200
249,328
1774,1331
1642,1457
756,1106
1781,1211
267,1829
1706,1940
1940,1573
565,1068
971,455
1481,575
root,1974
1981,658
216,415
root,159
875,1096
874,1096
1704,1096
1658,835
1638,835
905,77
1900,1636
1963,1636
1704,1741
1561,640
1375,1288
486,510
1883,980
290,980
455,45
565,1963
844,373
1211,26
851,26
985,26
920,651
1268,651
1230,1047
1230,917
root,1503
1642,714
root,598
154,1244
853,1133
154,853
1856,853
1117,983
1709,1784
1055,733
1542,733
1164,315
704,315
933,102
1076,102
1815,241
1621,1385
476,1136
1314,1362
1362,1247
1658,427
560,1853
611,1853
1963,1612
566,1612
1783,565
956,1704
1658,1471
700,1471
875,504
1895,1722
1643,1722
root,30
791,242
1107,286
1895,902
1643,902
875,533
root,1978
1297,654
1143,654
1058,778
1202,904
1022,879
643,389
240,389
1453,269
1831,269
1911,637
1769,637
1655,1155
1937,1463
1231,1336
1099,1336
486,267
1443,1316
300,234
1586,957
1456,445
1953,445
13,680
1953,1776
741,372
808,1024
1874,1024
1227,454
1456,1575
637,1831
1647,1270
1764,1062
1526,1062
1443,1062
283,1062
638,1062
1518,1874
1439,704
1783,1862
812,393
1658,1873
184,1007
1672,1746
1751,994
994,744
158,624
1774,1479
994,256
1658,119
1642,119
1774,659
971,933
1658,1705
915,1476
1792,1476
1220,1590
485,1590
746,1590
549,1590
945,52
1270,1413
1056,1413
602,1656
678,1656
1492,982
root,792
1937,918
1655,501
1637,626
1342,7
704,812
1164,1474
705,1412
818,1655
788,1655
416,1786
1704,313
1691,1361
1447,1031
1704,1249
136,299
538,299
290,299
1647,299
1924,1857
158,1804
1774,1804
476,1672
663,805
1017,805
286,1290
1924,1538
1953,239
1886,1018
279,1965
1795,1092
899,1092
root,350
1976,1626
1061,711
875,1306
1306,1201
679,1461
1751,1695
1635,823
264,647
1208,647
602,1111
1400,1111
671,1219
844,1219
root,1697
root,945
1658,1079
391,483
1729,483
956,113
root,4
956,1282
