3,3812,2813,3530
11,5275,2804,5181
12,10270,9824,8370
13,4180,3027,3160
14,10525,10034,10474
16,6551,5656,6019
17,2479,1443,2080
19,1883,1216,1882
25,3051,2295,2105
26,5175,3289,4277
31,2333,1406,2312
33,3808,1779,3282
34,3799,1296,1345
45,2041,1955,2037
48,1965,1906,1633
53,8527,7756,7525
58,2995,2933,2170
59,3026,2778,2685
61,4973,2319,4033
67,5451,4365,2062
71,11082,8545,9433
72,9507,8270,5005
74,2412,2071,1921
82,5301,4705,1439
84,5426,4489,3378
86,2026,1929,2012
89,3675,3012,1688
97,7615,5261,6426
102,17059,15779,11294
104,2454,329,2086
106,4596,3405,3867
109,3383,2106,2260
110,2217,2202,1993
112,1946,1650,1282
113,4911,4909,4618
114,4831,4566,1866
116,2536,741,1828
119,1922,1675,1201
125,2484,1835,2241
129,4289,4195,4119
131,3191,1810,2641
132,2839,1908,2534
133,1912,1669,1879
136,5805,5586,3884
140,1885,1713,1635
142,16501,11771,14586
143,5916,3376,5553
144,3433,2401,2938
148,2250,1830,1932
150,2589,908,2291
154,3822,3522,1556
155,1881,1558,1798
156,1833,1832,1732
158,2106,1459,2104
160,2049,884,1256
168,1865,1213,1232
169,1968,1929,1435
171,6828,5123,4315
174,8545,4904,5883
175,4580,2171,3027
180,1816,1814,1583
182,2733,2179,2715
184,2487,1493,2327
186,3096,1796,2230
190,3240,2283,2743
197,2662,2527,1743
199,1937,1006,1422
200,3628,1434,3437
202,2827,2825,2377
203,3825,2397,3046
205,3974,3145,3511
206,3192,1357,1662
208,5539,1955,2888
209,1819,1616,1511
212,2024,1296,1960
213,7301,3286,6422
218,1832,1561,1577
223,2189,1610,1493
226,2345,1690,2327
228,3305,1403,2658
229,6514,4130,5295
232,3428,2648,3268
234,5566,3980,4467
238,1926,1510,1260
241,5873,5680,4660
242,12576,11789,7428
248,2936,2473,1517
249,16175,15649,11348
251,2021,1711,1697
255,13538,13509,9359
256,3996,3816,2994
258,2081,1639,1768
259,2108,1614,1254
260,3964,3708,2899
266,2425,999,1851
267,5834,5634,2503
270,2731,2463,1471
271,2027,1648,1644
272,2379,2040,1795
275,6661,4260,4225
276,2874,2577,2327
279,1964,980,1744
283,3552,1648,3486
286,3601,2429,3055
288,2452,2021,1099
290,3183,2612,2501
298,2404,1370,2023
300,17657,15752,9606
301,10617,6878,8771
307,2295,2072,1957
309,2386,1137,1974
311,2608,649,2258
313,26438,26057,9402
315,23948,17113,10672
316,9037,8352,4256
317,4850,4352,4395
319,3294,2169,2724
323,2216,1986,2216
324,4382,4062,2759
328,2811,2502,2320
330,2472,1197,2025
331,5425,5179,4838
332,2451,2065,2445
334,2150,2150,1682
335,1862,1855,1756
336,2514,1414,2218
337,8370,5905,5512
339,2678,2225,1793
340,6071,5118,5741
349,2393,1143,2283
355,3376,3148,2239
358,2092,1993,1955
360,2121,1656,2091
363,1800,719,1387
369,4356,3077,1869
370,2005,1006,1663
373,3014,2862,2275
375,3850,1622,3646
377,1944,723,1688
385,3918,3831,3285
386,2777,1982,2773
388,2746,1874,2238
389,9906,5102,3336
390,1986,1862,1980
391,2165,1774,1318
393,5045,3051,4205
396,3689,2694,3583
400,1830,1343,1673
406,3555,3367,2264
410,7621,5049,7219
412,2549,2438,2504
413,4615,3161,2706
414,4840,4823,2057
416,1962,1620,1401
426,3280,2614,918
429,2404,1320,2155
430,2560,1262,2483
433,3410,1816,2962
437,2639,1700,2427
442,4854,4041,4329
445,2437,2146,1626
449,2166,2166,2147
451,2906,1747,1940
454,3014,2950,2726
455,2674,2660,2338
458,45482,44560,30183
462,4461,3141,3920
468,2466,2284,2266
477,6723,6616,5388
478,8409,6698,8155
479,5345,5241,4608
485,2503,2325,2394
487,3164,1641,2664
492,25405,22786,7700
494,6806,6241,3818
496,2216,1409,1993
501,5053,3767,4245
503,4020,3082,3144
507,4465,4164,3019
509,1964,849,1951
510,2882,2612,1937
511,2200,2151,2179
512,4063,4036,3858
514,2570,2549,1738
516,2363,2362,2203
518,2551,2222,2312
519,2216,1849,1572
521,2916,885,2753
522,2053,1482,1815
526,8074,7552,5982
528,2070,944,1554
529,5004,4823,4895
532,3784,2706,2782
536,2801,2385,2749
538,6740,5712,6598
539,4604,4497,4105
540,2781,2704,1702
542,4171,2391,3012
544,2753,2748,1182
546,2517,1989,1946
547,2518,1819,2288
549,1991,1811,1023
560,31225,27686,20740
564,4549,4123,2300
565,5478,4972,3253
566,6534,4735,2311
567,3836,1604,3823
569,2075,1808,1777
572,9742,7834,5362
574,7645,5210,7114
576,2768,1336,2748
577,5908,5120,5653
580,2036,1286,1964
581,2477,2351,2349
582,3094,2059,2518
583,2957,1797,2389
588,3581,1601,3187
594,2242,2043,2031
595,3712,3044,1983
596,2292,754,1889
597,3333,3177,2667
599,4698,4403,2554
600,1794,1697,1351
602,25230,25220,17792
604,1829,1542,1811
609,35356,32600,17621
610,5599,3528,5065
611,2286,1751,2038
614,1972,1104,1175
622,1820,1508,1517
623,1829,541,1821
624,2465,2417,2187
627,3873,1691,3785
629,13726,13635,9507
630,3156,2118,2746
631,2923,1223,2176
633,3314,2802,2807
637,2141,1579,1326
638,2882,2623,2820
640,15129,14221,6089
643,2153,1150,1532
647,2624,2016,1866
648,10450,6602,9542
649,6500,4944,5449
653,4061,3998,1246
655,7578,7290,6876
657,3261,2266,1938
659,3169,3035,2444
660,1944,1221,1831
663,2067,1858,1802
667,9889,6488,8936
670,3476,2528,2902
671,5034,4384,3377
673,8368,7094,3468
675,2782,1655,2027
676,2845,2107,2045
677,2203,1853,2142
678,2099,2099,1953
679,5299,3706,2238
683,2485,2235,1919
686,1938,1863,1635
688,2639,2247,2218
691,1925,1365,1630
698,3910,3523,2305
704,10809,9800,3581
705,30144,29509,12606
706,3272,2777,2063
707,2025,1938,1702
711,5652,4723,5000
714,2354,1921,1499
721,1940,1604,1577
722,7932,7930,5069
724,1928,1865,1655
726,2500,2055,1501
727,3421,2929,3098
728,2678,1926,2634
730,2065,1643,1801
731,1948,1799,1472
732,6335,5621,3130
733,1871,1202,1733
740,3371,3288,2164
741,38272,35295,21280
742,3777,3048,3283
743,2054,1574,2032
746,2077,2067,1898
749,2961,2331,2958
753,31876,29331,24769
756,12279,11421,6836
758,2866,2092,2318
761,2097,1185,1768
762,1836,1332,1801
773,10574,9194,3367
775,1888,1403,1153
779,1790,1738,1600
783,10639,7077,6941
788,11926,11450,4583
791,7387,7162,2415
798,2965,2508,2407
799,1967,973,1944
804,2947,2472,2190
807,2063,2063,1832
808,5356,4873,2408
810,1864,1384,1528
811,2609,2505,2460
812,4129,2962,3431
814,2238,1780,1947
817,3246,3103,2911
818,3459,2878,2004
819,1903,1503,1641
821,4770,3196,3386
828,4805,2328,3480
829,2206,1041,1522
834,16856,15908,15043
840,5365,4786,3838
843,1900,1339,1434
844,2151,2075,1411
846,2770,2281,1741
849,1945,1867,1597
851,5423,4982,4605
852,1883,1609,1815
853,2856,2611,1879
857,2034,1514,2029
862,1881,1855,1644
865,1924,975,1749
866,4165,3942,2844
868,2174,2168,1890
869,2734,1605,2543
870,1840,1212,1595
871,1946,1871,1822
874,7677,6906,3197
875,26490,26444,8851
878,1895,1353,1832
879,42237,40140,16398
888,2396,2377,2056
896,3560,1481,3208
898,1862,880,1375
899,2837,1825,2439
902,3962,3749,3035
904,1983,1865,1765
905,4011,1764,3725
915,39552,25393,18009
916,19405,15003,17299
921,4519,3235,3685
922,2214,1957,2065
924,3703,2444,3547
925,2017,2016,1624
927,2454,2100,2238
929,7079,5953,4170
931,1952,1951,1792
933,1850,1840,999
938,3228,875,2334
939,2129,1351,1980
943,4245,3827,3534
947,8469,8223,6669
949,2160,1999,1747
954,2801,1473,2405
957,4939,2064,4222
959,4865,2876,3973
964,2493,1615,2301
965,1792,1093,1627
973,3354,2879,3083
974,2346,1336,2243
980,4652,2370,4029
982,8014,7820,5969
983,2565,2043,2511
985,6401,4958,3962
988,2125,1621,1761
991,1877,1810,1134
993,3039,1388,1599
994,3567,3342,1779
996,1914,1822,1699
998,3592,704,2898
999,2107,1422,1814
1001,2412,1968,1680
1003,3689,3560,3205
1005,3799,2362,2598
1007,2227,1786,2043
1016,2880,2539,2511
1017,6095,6024,3402
1018,2495,2293,2398
1021,2505,1227,2085
1022,15944,15925,4689
1024,4950,2732,2967
1026,3954,2618,3948
1030,1838,1826,1715
1033,3789,2873,3494
1038,13922,13771,9421
1041,25066,23842,18647
1043,3935,3534,3498
1044,2514,2277,1582
1046,2379,1819,2156
1047,3020,946,1946
1050,2301,1677,1574
1053,2513,2466,2256
1055,3057,2668,2061
1056,3617,2988,3114
1058,2051,1647,1358
1060,2471,2445,2035
1061,1956,1807,1405
1063,9377,8930,5664
1064,3468,3443,2482
1068,4727,3946,1701
1073,2892,2892,2335
1076,3919,3918,1204
1077,20026,19802,12685
1080,5273,4079,3991
1083,2529,2511,2135
1086,4922,2827,4825
1088,2910,2398,2604
1091,3830,2594,3236
1094,3676,3597,3153
1099,3275,2164,2101
1100,2607,2403,2398
1103,2949,1778,1593
1107,2469,1664,2068
1109,1992,1931,1968
1110,2058,1941,1580
1111,16220,14085,6793
1112,1916,1425,1644
1115,4340,3484,4220
1117,6215,5292,4628
1120,2076,1699,2015
1123,19782,19017,10046
1124,9298,8494,2694
1125,2045,1289,1915
1129,22819,20932,21969
1130,3625,3620,1148
1131,2025,1916,1853
1136,5140,4734,3360
1138,2144,1921,1474
1139,4093,1564,3765
1140,2963,2435,2239
1147,12243,8559,6460
1149,2836,2814,2833
1150,2408,1233,2185
1153,13881,12508,4805
1154,1822,1438,1427
1163,16047,13839,12167
1164,27706,25322,16946
1167,2273,1167,2259
1171,3336,3317,1166
1172,1825,1001,1582
1174,4132,2944,2066
1176,2602,2224,1854
1178,3720,3100,2266
1182,3021,1438,2155
1183,2397,775,2293
1186,3191,2748,2436
1191,1943,1694,1764
1192,2523,2093,2156
1194,29402,27475,21120
1198,1917,1538,1751
1199,5028,2915,3245
1202,1994,1788,1821
1207,2169,1412,1762
1208,33393,30389,16606
1211,9736,9265,7131
1220,12661,12510,8198
1228,4423,1477,3452
1230,3567,1542,1695
1231,6717,5127,4336
1232,4994,4150,3873
1233,4498,2745,3950
1236,2103,2070,2039
1242,3325,3074,2225
1244,3986,3876,3560
1246,7530,6378,5609
1249,5923,5832,5086
1250,3633,1497,3477
1253,2062,2053,1594
1254,2046,1735,1765
1258,2027,1045,1899
1259,2299,1378,2170
1262,1952,1877,945
1263,9031,5038,6160
1268,1986,1174,1719
1270,6621,5870,4375
1271,2173,1941,2066
1273,1869,1058,1725
1275,2218,1003,1669
1276,2863,2342,2854
1278,6046,3444,4543
1279,2124,1648,1533
1280,2168,1138,947
1282,6563,6532,3328
1285,3176,1226,1710
1286,2941,2085,2917
1290,3807,3399,2192
1291,2760,2730,2614
1292,2057,1554,1944
1297,4224,3041,2917
1298,6833,5969,4333
1305,3071,3034,3013
1306,4399,2394,3587
1314,6806,4798,6072
1316,6145,5710,4097
